2.800000	-6.833
2.820290	-6.818
2.840727	-6.798
2.861312	-6.776
2.882046	-6.754
2.902931	-6.732
2.923967	-6.710
2.945155	-6.688
2.966497	-6.666
2.987993	-6.644
3.009645	-6.622
3.031454	-6.600
3.053422	-6.578
3.075548	-6.557
3.097835	-6.535
3.120283	-6.513
3.142894	-6.491
3.165668	-6.469
3.188608	-6.447
3.211714	-6.425
3.234987	-6.403
3.258430	-6.381
3.282041	-6.359
3.305824	-6.337
3.329780	-6.315
3.353909	-6.293
3.378213	-6.272
3.402693	-6.250
3.427350	-6.228
3.452186	-6.206
3.477202	-6.184
3.502399	-6.162
3.527779	-6.140
3.553343	-6.118
3.579092	-6.096
3.605027	-6.074
3.631151	-6.052
3.657464	-6.030
3.683967	-6.008
3.710663	-5.986
3.737552	-5.964
3.764635	-5.942
3.791915	-5.920
3.819393	-5.898
3.847070	-5.876
3.874948	-5.854
3.903027	-5.832
3.931310	-5.811
3.959798	-5.789
3.988492	-5.767
4.017394	-5.745
4.046506	-5.723
4.075829	-5.701
4.105364	-5.679
4.135113	-5.657
4.165078	-5.635
4.195260	-5.613
4.225660	-5.591
4.256281	-5.569
4.287124	-5.548
4.318190	-5.526
4.349482	-5.504
4.381000	-5.482
4.412746	-5.460
4.444723	-5.438
4.476931	-5.416
4.509373	-5.394
4.542050	-5.372
4.574963	-5.350
4.608115	-5.328
4.641508	-5.306
4.675142	-5.284
4.709020	-5.262
4.743143	-5.240
4.777514	-5.218
4.812134	-5.197
4.847005	-5.175
4.882128	-5.153
4.917506	-5.131
4.953140	-5.109
4.989033	-5.087
5.025185	-5.065
5.061600	-5.043
5.098278	-5.021
5.135223	-4.998
5.172434	-4.976
5.209916	-4.954
5.247669	-4.932
5.285696	-4.910
5.323998	-4.888
5.362578	-4.866
5.401438	-4.844
5.440579	-4.823
5.480003	-4.801
5.519714	-4.779
5.559712	-4.757
5.600000	-4.735
5.640580	-4.713
5.681454	-4.691
5.722624	-4.669
5.764092	-4.647
5.805861	-4.625
5.847933	-4.603
5.890310	-4.581
5.932993	-4.559
5.975986	-4.537
6.019291	-4.515
6.062909	-4.493
6.106843	-4.471
6.151096	-4.450
6.195669	-4.428
6.240566	-4.406
6.285787	-4.384
6.331337	-4.362
6.377216	-4.340
6.423428	-4.318
6.469975	-4.296
6.516859	-4.274
6.564083	-4.252
6.611649	-4.230
6.659560	-4.208
6.707818	-4.186
6.756425	-4.165
6.805385	-4.143
6.854700	-4.121
6.904372	-4.099
6.954404	-4.077
7.004798	-4.055
7.055558	-4.033
7.106685	-4.011
7.158183	-3.989
7.210054	-3.967
7.262301	-3.945
7.314927	-3.923
7.367934	-3.901
7.421325	-3.879
7.475103	-3.857
7.529271	-3.835
7.583831	-3.813
7.638786	-3.791
7.694140	-3.769
7.749895	-3.747
7.806054	-3.725
7.862620	-3.703
7.919596	-3.682
7.976984	-3.660
8.034789	-3.638
8.093012	-3.616
8.151658	-3.594
8.210728	-3.573
8.270226	-3.551
8.330156	-3.529
8.390519	-3.508
8.451321	-3.486
8.512562	-3.465
8.574248	-3.443
8.636380	-3.422
8.698963	-3.401
8.762000	-3.379
8.825493	-3.358
8.889446	-3.337
